Index,c_rank,c_kincode,c_kin_pair1,c_kin_pair2,c_kin_pair_notes,c_kinrel_chn,c_kinrel,c_kinrel_alt,c_pick_sorting,c_upstep,c_dwnstep,c_marstep,c_colstep,代差
-1,1000000,-1,-1,-1,,[missing data],[missing data],[missing data],10000,0,0,0,0,0
0,999999,0,0,0,,未詳,U,undetermined,9999,99,99,99,99,0
2,500,2,303,303,,直系祖先,G-n,"G-n, lineal ancestor, generation unknown",50,99,0,0,0,99
3,500,3,301,-10000,,妻之直系祖先,WG-n,Ancestor of wife,150,99,0,1,0,99
4,500,4,304,304,,同族長輩,K-n,"Lineage ancestor,  generation undefined",50,99,1,0,2,98
6,500,6,305,-10000,,妻之同族祖先,WK-n,"Wife's lineage ancestor, generation undefined",150,99,1,1,2,98
8,500,8,301,-10000,,第一任妻之直系祖先,W1G-n,"W1G-n Wife's ancestor, generation undefined",9999,99,0,1,0,99
9,500,9,299,299,,四十三世祖,G-43,G-43,9999,43,0,0,0,43
10,500,10,298,298,,四十二世祖,G-42,G-42,9999,42,0,0,0,42
11,500,11,297,297,,三十八世祖,G-38,G-38,9999,38,0,0,0,38
12,500,12,296,296,,三十五世祖,G-35,G-35,9999,35,0,0,0,35
13,500,13,295,295,,三十世祖,G-30,G-30,9999,30,0,0,0,30
14,500,14,294,294,,二十七世祖,G-27,G-27,9999,27,0,0,0,27
15,500,15,293,293,,二十二世祖,G-22,G-22,9999,22,0,0,0,22
16,500,16,292,292,,十九世祖,G-19,G-19,9999,19,0,0,0,19
17,500,17,291,291,,十八世祖,G-18,G-18,9999,18,0,0,0,18
18,510,18,289,-10000,G+17H,妻之十七世祖,WG-17,WG-17,9999,17,0,1,0,17
19,500,19,290,290,,十七世祖,G-17,G-17,9999,17,0,0,0,17
20,500,20,288,288,,十六世祖,G-16,G-16,9999,16,0,0,0,16
21,500,21,287,287,,十五世祖,G-15,G-15,9999,15,0,0,0,15
22,500,22,286,286,,十四世祖,G-14,G-14,9999,14,0,0,0,14
23,500,23,285,285,,十三世祖,G-13,G-13,9999,13,0,0,0,13
24,500,24,284,284,,十二世祖,G-12,G-12,9999,12,0,0,0,12
25,500,25,283,283,,十一世祖,G-11,G-11,9999,11,0,0,0,11
26,500,26,282,282,,十世祖,G-10,G-10,9999,10,0,0,0,10
27,500,27,280,280,,九世叔伯祖,G-9B,G-9B,9999,9,0,0,1,9
28,500,28,281,281,,九世祖;太高曾祖,G-9,G-9,9999,9,0,0,0,9
29,500,29,279,279,,八世祖;太高祖,G-8,G-8,9999,8,0,0,0,8
30,500,30,278,278,,八世叔伯祖,G-8B,G-8B Brother of 8th generation ancestor,9999,8,0,0,1,8
31,500,31,277,277,,七世祖;太曾祖,G-7,G-7,9999,7,0,0,0,7
32,500,32,276,-10000,G+7H,妻之七世祖,WG-7,WG-7,9999,7,0,1,0,7
33,500,33,271,-1,BSSSSD,五世叔伯祖,FFFFFB,G-5B FFFFFB,9999,5,0,0,1,5
34,500,34,-1,-10000,BG+6H,妻之六世叔伯祖,WG-6B,WG-6B,9999,6,0,1,1,6
36,500,36,272,272,,六世祖;太祖,G-6,G-6,9999,6,0,0,0,6
38,500,38,275,275,,同族六世祖,K-6,"Lineage kin, 6 generations earlier",9999,7,1,0,1,6
39,70,39,263,368,SSSD,高祖;四世祖,FFFF,FFFF,-6,4,0,0,0,4
40,510,40,266,-10000,,妻之高祖,WFFFF,Wife's great great grandfather,9999,4,0,1,0,4
41,500,41,267,-1,BSSSD,四世伯叔祖;高伯叔祖父,FFFFB,FFFFB G-4B,9999,4,0,0,1,4
42,500,42,265,-1,SSDD,外高祖父,MFFF,MFFF,9999,4,0,0,0,4
44,510,44,264,-10000,,妻之四世叔伯祖,WFFFFB,Brother of wife's great great grandfather,9999,4,0,1,1,4
46,500,46,260,260,,同族四世祖,K-4,"Lineage kin, 4 generations earlier",9999,5,1,0,1,4
47,500,47,269,269,,同族五世祖,K-5,"Lineage kin, 5 generations earlier",9999,6,1,0,1,5
48,70,48,255,347,,曾祖,FFF,FFF,-5,3,0,0,0,3
49,140,49,256,-10000,,妻之曾祖,WFFF,WFFF,23,3,0,1,0,3
50,500,50,253,418,BSSD,曾伯叔祖;從曾祖,FFFB,FFFB,9999,3,0,0,1,3
51,140,51,254,-10000,,妻之曾叔伯祖,WFFFB,WFFFB,9999,3,0,1,1,3
52,70,52,252,-1,"SDS, SDD",外曾祖父,MFF,MFF,-9,3,0,0,0,3
56,139,56,256,-10000,,第二任妻之曾祖,W2FFF,W2FFF,9999,3,0,1,0,3
57,139,57,256,-10000,,第三任妻之曾祖,W3FFF,W3FFF,9999,3,0,1,0,3
58,400,58,259,-1,FBSSSD,曾祖之從兄弟;再從曾祖,FFFFBS,FFFFBS,,4,1,0,1,3
59,139,59,256,-10000,,第一任妻之曾祖,W1FFF,W1FFF,9999,3,0,1,0,3
61,140,61,261,-10000,,得許娶曾孫女,W%FFF,Great grandfather of betrothed,,3,0,1,0,3
62,50,62,243,251,,祖父,FF,FF,-4,2,0,0,0,2
63,130,63,244,-10000,,妻之祖父,WFF,WFF,22,2,0,1,0,2
64,61,64,240,459,,從祖;伯叔祖,FFB,FFB,9999,2,0,0,1,2
65,61,65,245,-10000,,妻之叔伯祖,WFFB,WFFB,9999,2,0,1,1,2
66,50,66,238,372,,外祖父,MF,MF Mother's father,-7,2,0,0,0,2
67,500,67,239,-10000,,岳母之父,WMF,WMF Wife's mothers's father,9999,2,0,1,0,2
70,129,70,248,-10000,,許妻以孫女,W%FF,Grandfather of Betrothed,9999,2,0,1,0,2
72,129,72,244,-10000,,第一任妻之祖,W1FF,W1FF,22,2,0,1,0,2
73,66,73,250,-1,LK+2(female),"族祖父;族父的父親,即祖父的堂兄弟",K-2(male),Lineage granduncle,9999,3,1,0,1,2
74,129,74,244,-10000,,第二任妻之祖,W2FF,W2FF,22,2,0,1,0,2
75,0,75,180,176,,父,F,F Father,-1,1,0,0,0,1
76,120,76,181,-10000,,岳父,WF,WF,21,1,0,1,0,1
77,180,77,179,366,,母舅,MB,MB Mother's brother,9999,1,0,0,1,1
78,190,78,-1,-1,"WBDS,WBDD",外祖姑之夫;外祖父的姐妹之夫,MFZH,MFZH,9999,2,0,1,1,2
79,41,79,177,330,,從父;伯叔父,FB,FB Father's brother,9999,1,0,0,1,1
80,200,80,178,-10000,,妻之叔伯,WFB,WFB,9999,1,0,1,1,1
82,-1,82,186,-10000,,嗣父,F*,"F* Father, adopting heir",-2,1,0,0,0,1
84,400,84,190,463,,再從父;堂伯叔父,FFBS,FFBS,,2,1,0,1,1
86,170,86,197,-10000,,許妻以女,W%F,Father of betrothed,200,1,0,1,0,1
87,119,87,181,-10000,,第一任妻父,W1F,W1F Father of W1,21,1,0,1,0,1
88,119,88,181,-10000,,第二任妻父,W2F,W2F,21,1,0,1,0,1
90,199,90,178,-10000,,第一任妻之叔伯,W1FB,W1FB,9999,1,0,1,1,1
91,198,91,178,-10000,,第二任妻之叔伯,W2FB,W2FB,9999,1,0,1,1,1
92,119,92,181,-10000,,第三任妻父,W3F,W3F,9999,1,0,1,0,1
93,210,93,210,471,FFBSSD,族姑,K-1(female),Lineage aunt,9999,2,1,0,1,1
94,220,94,232,-10000,,妻之母舅,WMB,WMB Wife's mother's brother,9999,1,0,1,1,1
96,119,96,181,-10000,,第四任妻父,W4F,W4F,9999,1,0,1,0,1
97,230,97,210,471,FFBSSD,族父,K-1(male),Lineage uncle,9999,2,1,0,1,1
98,-1,98,214,376,,繼父,F^,F^ Stepfather,-2,1,0,0,0,1
100,120,100,181,-10000,,妾之父,CF,Father of Consort,,1,0,1,0,1
103,240,103,104,-1,BDH%M,兒子未婚妻之伯叔父,SW%FB,Son's troth's uncle,9999,1,1,1,1,0
104,240,104,103,-1,SW%FZ,姪女未婚夫之父,BDH%F,Niece's troth's father,9999,1,1,1,1,0
105,240,105,223,-10000,,妻之姨夫,WMZH,WMZH,9999,1,0,2,1,1
107,1,107,436,227,,養父,F°,Adopting father,,1,0,0,0,1
111,0,111,180,176,,母,M,M Mother,-3,1,0,0,0,1
112,119,112,181,-10000,,第五任妻父,W5F,W5F,9999,1,0,1,0,1
117,160,117,117,117,,姻親,A,Affinal kin,150,0,0,1,1,0
118,20,118,118,374,,兄弟,B,B Brother,1,0,0,0,1,0
119,250,119,119,-1,FBD,從兄弟;堂兄弟,FBS,FBS Father's brother's son,9999,1,1,0,1,0
121,260,121,405,-1,FZD,舅表兄弟,MBS,MBS,9999,1,1,0,1,0
125,19,125,126,169,,兄,B+,"B+  Brother, elder",2,0,0,0,1,0
126,19,126,125,164,,弟,B-,"B– Brother, younger",3,0,0,0,1,0
127,270,127,128,-1,MBD+,姑表弟,FZS-,FZS–,9999,1,1,0,1,0
128,259,128,127,-1,FZD-,舅表兄,MBS+,MBS+,9999,1,1,0,1,0
130,249,130,131,417,FBD+,從弟,FBS-,"FBS– Father's brother's son, younger",9999,1,1,0,1,0
131,249,131,130,416,FBD-,從兄,FBS+,"FBS+ Father's brother's son, elder",9999,1,1,0,1,0
132,280,132,133,-1,FFBSD+,再從弟,FFBSS-,FFBSS–,9999,2,2,0,1,0
133,280,133,132,-1,FFBSD-,再從兄,FFBSS+,FFBSS+,9999,2,2,0,1,0
134,10,134,-10000,135,Possibly 168,丈夫,H,H Husband,0,0,0,1,0,0
135,10,135,134,-10000,,妻子,W,W Wife,0,0,0,1,0,0
136,21,136,385,384,,姐夫,Z+H,"Z+H Sister, elder, husband of",4,0,0,1,1,0
137,109,137,159,-10000,,妻兄,WB+,WB+,17,0,0,1,1,0
138,9,138,134,-10000,,第一任妻,W1,"W1 Wife, first",16,0,0,1,0,0
141,290,141,142,-1,WMZD,姨表姊妹之夫,MZDH,MZDH,9999,1,1,1,1,0
142,290,142,141,-10000,,岳母之外甥;妻之姨表兄弟,WMZS,WMZS,9999,1,1,1,1,0
143,300,143,144,462,,族兄,K+(male),"Lineage cousin, elder, male",9999,2,2,0,1,0
144,300,144,143,461,,族弟,K-(male),"Lineage cousin, younger, male",9999,2,2,0,1,0
147,500,147,147,147,,族人(輩分不詳),Kn,"Lineage kin, generation unknown",,2,2,1,1,0
